session_key,driver_number,position,driver_status
9845,81,1,finished
9845,63,2,finished
9845,4,3,finished
9845,1,4,finished
9845,22,5,finished
9845,12,6,finished
9845,14,7,finished
9845,55,8,finished
9845,6,9,finished
9845,23,10,finished
9845,5,11,finished
9845,87,12,finished
9845,16,13,finished
9845,30,14,finished
9845,31,15,finished
9845,27,16,finished
9845,44,17,finished
9845,10,18,finished
9845,18,19,finished
9845,43,20,finished
9850,1,1,finished
9850,81,2,finished
9850,55,3,finished
9850,4,4,finished
9850,12,5,finished
9850,63,6,finished
9850,14,7,finished
9850,16,8,finished
9850,30,9,finished
9850,22,10,finished
9850,23,11,finished
9850,44,12,finished
9850,5,13,finished
9850,43,14,finished
9850,31,15,finished
9850,10,16,finished
9850,18,17,dnf
9850,6,18,dnf
9839,1,1,finished
9839,81,2,finished
9839,4,3,finished
9839,16,4,finished
9839,63,5,finished
9839,14,6,finished
9839,31,7,finished
9839,44,8,finished
9839,27,9,finished
9839,18,10,finished
9839,5,11,finished
9839,87,12,finished
9839,55,13,finished
9839,22,14,finished
9839,12,15,finished
9839,23,16,finished
9839,6,17,finished
9839,30,18,finished
9839,10,19,finished
9839,43,20,finished
