session_key,session_type,session_name,circuit_key,date_start,date_end,year
9840,Practice,Practice 1,150,2025-11-28T13:30:00+00:00,2025-11-28T14:30:00+00:00,2025
9841,Qualifying,Sprint Qualifying,150,2025-11-28T17:30:00+00:00,2025-11-28T18:14:00+00:00,2025
9845,Race,Sprint,150,2025-11-29T14:00:00+00:00,2025-11-29T15:00:00+00:00,2025
9846,Qualifying,Qualifying,150,2025-11-29T18:00:00+00:00,2025-11-29T19:00:00+00:00,2025
9850,Race,Race,150,2025-11-30T16:00:00+00:00,2025-11-30T18:00:00+00:00,2025
9832,Practice,Practice 1,70,2025-12-05T09:30:00+00:00,2025-12-05T10:30:00+00:00,2025
9833,Practice,Practice 2,70,2025-12-05T13:00:00+00:00,2025-12-05T14:00:00+00:00,2025
9834,Practice,Practice 3,70,2025-12-06T10:30:00+00:00,2025-12-06T11:30:00+00:00,2025
9835,Qualifying,Qualifying,70,2025-12-06T14:00:00+00:00,2025-12-06T15:00:00+00:00,2025
9839,Race,Race,70,2025-12-07T13:00:00+00:00,2025-12-07T15:00:00+00:00,2025
