session_key,driver_number,position,lap_duration
9841,81,1,80.055
9841,63,2,80.087
9841,4,3,80.285
9841,14,4,80.45
9841,22,5,80.519
9841,1,6,80.528
9841,12,7,80.532
9841,55,8,80.542
9841,16,9,80.622
9841,23,10,80.788
9841,6,11,81.433
9841,87,12,81.494
9841,5,13,81.567
9841,27,14,81.631
9841,31,15,81.666
9841,18,16,81.807
9841,30,17,81.851
9841,44,18,82.043
9841,10,19,82.112
9841,43,20,82.364
9846,81,1,79.387
9846,4,2,79.495
9846,1,3,79.651
9846,63,4,79.662
9846,12,5,79.846
9846,6,6,80.114
9846,55,7,80.287
9846,14,8,80.418
9846,10,9,80.477
9846,16,10,80.561
9846,27,11,80.353
9846,30,12,80.433
9846,87,13,80.438
9846,23,14,80.629
9846,22,15,80.761
9846,31,16,80.864
9846,44,17,80.907
9846,18,18,81.058
9846,5,19,80.534
9846,43,20,81.137
9835,1,1,82.207
9835,4,2,82.408
9835,81,3,82.437
9835,63,4,82.645
9835,16,5,82.73
9835,14,6,82.902
9835,5,7,82.904
9835,31,8,82.913
9835,6,9,83.072
9835,22,10,
9835,87,11,83.041
9835,55,12,83.042
9835,30,13,83.077
9835,12,14,83.08
9835,18,15,83.097
9835,44,16,83.394
9835,23,17,83.416
9835,27,18,83.45
9835,10,19,83.468
9835,43,20,83.89
