meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1275,9845,1,81,1,19,MEDIUM,5
1275,9845,1,63,1,19,MEDIUM,6
1275,9845,1,4,1,1,MEDIUM,5
1275,9845,2,4,2,19,HARD,0
1275,9845,1,1,1,1,MEDIUM,6
1275,9845,2,1,2,19,HARD,0
1275,9845,1,22,1,1,MEDIUM,6
1275,9845,2,22,2,19,HARD,0
1275,9845,1,12,1,1,MEDIUM,6
1275,9845,2,12,2,19,HARD,0
1275,9845,1,14,1,1,MEDIUM,6
1275,9845,2,14,2,19,HARD,0
1275,9845,1,55,1,19,MEDIUM,6
1275,9845,1,6,1,1,MEDIUM,6
1275,9845,2,6,2,19,HARD,0
1275,9845,1,23,1,1,MEDIUM,6
1275,9845,2,23,2,19,HARD,0
1275,9845,1,5,1,1,MEDIUM,6
1275,9845,2,5,2,19,HARD,0
1275,9845,1,87,1,19,MEDIUM,6
1275,9845,1,16,1,1,MEDIUM,6
1275,9845,2,16,2,19,HARD,0
1275,9845,1,30,1,19,MEDIUM,6
1275,9845,1,31,1,19,MEDIUM,6
1275,9845,1,27,1,19,MEDIUM,6
1275,9845,1,44,1,19,MEDIUM,0
1275,9845,1,10,1,1,MEDIUM,0
1275,9845,2,10,2,19,SOFT,0
1275,9845,1,18,1,13,MEDIUM,7
1275,9845,2,18,14,19,SOFT,10
1275,9845,1,43,1,17,MEDIUM,0
1275,9845,2,43,18,19,SOFT,6
