date,session_key,driver_number,gap_to_leader,meeting_key,interval
2025-10-05T11:08:38.917000+00:00,9896,63,0.0,1270,0.0
2025-10-05T12:03:37.404000+00:00,9896,1,0.24,1270,0.24
2025-10-05T12:03:37.581000+00:00,9896,81,0.368,1270,0.128
2025-10-05T12:03:37.716000+00:00,9896,4,0.585,1270,
2025-10-05T12:03:37.726000+00:00,9896,12,0.635,1270,0.267
2025-10-05T12:03:38.070000+00:00,9896,16,0.957,1270,
2025-10-05T12:03:38.070000+00:00,9896,44,1.006,1270,0.421
2025-10-05T12:03:38.336000+00:00,9896,6,1.257,1270,0.3
2025-10-05T12:03:38.418000+00:00,9896,87,1.314,1270,0.057
2025-10-05T12:03:38.731000+00:00,9896,14,1.643,1270,0.329
2025-10-05T12:03:38.899000+00:00,9896,27,1.698,1270,0.055
2025-10-05T12:03:39.013000+00:00,9896,22,1.863,1270,
2025-10-05T12:03:39.022000+00:00,9896,30,1.874,1270,0.176
2025-10-05T12:03:39.210000+00:00,9896,18,2.025,1270,
2025-10-05T12:03:39.315000+00:00,9896,5,2.209,1270,0.346
2025-10-05T12:03:39.323000+00:00,9896,43,2.217,1270,0.192
2025-10-05T12:03:39.352000+00:00,9896,31,2.273,1270,0.056
2025-10-05T12:03:39.594000+00:00,9896,55,2.529,1270,0.256
2025-10-05T12:03:40.802000+00:00,9896,1,0.377,1270,0.377
2025-10-05T12:03:40.997000+00:00,9896,81,0.495,1270,0.118
2025-10-05T12:03:41.194000+00:00,9896,4,0.683,1270,0.188
2025-10-05T12:03:41.618000+00:00,9896,12,0.927,1270,0.244
2025-10-05T12:03:41.714000+00:00,9896,16,1.025,1270,0.098
2025-10-05T12:03:42.015000+00:00,9896,44,1.24,1270,0.215
2025-10-05T12:03:42.089000+00:00,9896,87,1.263,1270,0.023
2025-10-05T12:03:42.231000+00:00,9896,6,1.367,1270,0.104
2025-10-05T12:03:42.681000+00:00,9896,27,1.674,1270,0.307
2025-10-05T12:03:42.787000+00:00,9896,14,1.749,1270,0.075
2025-10-05T12:03:43.040000+00:00,9896,18,2.005,1270,0.256
2025-10-05T12:03:43.086000+00:00,9896,22,2.028,1270,0.023
2025-10-05T12:03:43.215000+00:00,9896,30,2.164,1270,0.136
2025-10-05T12:03:43.483000+00:00,9896,5,2.374,1270,0.21
2025-10-05T12:03:43.496000+00:00,9896,31,2.784,1270,
2025-10-05T12:03:43.505000+00:00,9896,43,2.455,1270,0.081
2025-10-05T12:03:43.699000+00:00,9896,55,2.947,1270,0.163
2025-10-05T12:03:43.918000+00:00,9896,1,0.405,1270,0.405
2025-10-05T12:03:44.334000+00:00,9896,81,0.746,1270,0.341
2025-10-05T12:03:44.334000+00:00,9896,4,0.789,1270,0.043
2025-10-05T12:03:44.797000+00:00,9896,16,1.231,1270,0.442
2025-10-05T12:03:44.941000+00:00,9896,12,1.369,1270,0.138
2025-10-05T12:03:45.270000+00:00,9896,44,1.685,1270,0.316
2025-10-05T12:03:45.670000+00:00,9896,6,2.051,1270,0.366
2025-10-05T12:03:45.700000+00:00,9896,14,2.099,1270,0.048
2025-10-05T12:03:46.297000+00:00,9896,22,2.646,1270,0.547
2025-10-05T12:03:46.354000+00:00,9896,30,2.688,1270,0.042
2025-10-05T12:03:46.716000+00:00,9896,18,3.035,1270,0.347
2025-10-05T12:03:46.759000+00:00,9896,43,3.108,1270,0.073
2025-10-05T12:03:47.030000+00:00,9896,5,3.362,1270,0.254
