meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1270,9896,1,5,1,13,MEDIUM,0
1270,9896,1,22,1,13,SOFT,0
1270,9896,1,43,1,14,SOFT,0
1270,9896,1,1,1,19,SOFT,3
1270,9896,1,6,1,20,SOFT,2
1270,9896,1,16,1,21,MEDIUM,0
1270,9896,1,87,1,23,MEDIUM,0
1270,9896,1,44,1,24,MEDIUM,0
1270,9896,1,10,1,24,MEDIUM,0
1270,9896,1,63,1,25,MEDIUM,0
1270,9896,1,12,1,25,MEDIUM,0
1270,9896,1,27,1,25,MEDIUM,0
1270,9896,1,4,1,26,MEDIUM,0
1270,9896,1,81,1,27,MEDIUM,0
1270,9896,1,14,1,27,SOFT,3
1270,9896,1,31,1,30,MEDIUM,0
1270,9896,1,18,1,38,SOFT,0
1270,9896,1,23,1,42,MEDIUM,0
1270,9896,2,27,26,44,HARD,0
1270,9896,2,44,25,46,HARD,0
1270,9896,1,30,1,48,MEDIUM,0
1270,9896,1,55,1,50,MEDIUM,0
1270,9896,2,10,25,51,HARD,0
1270,9896,2,63,26,62,HARD,0
1270,9896,2,1,20,62,HARD,0
1270,9896,2,4,27,62,HARD,0
1270,9896,2,81,28,62,HARD,0
1270,9896,2,55,51,61,SOFT,0
1270,9896,2,6,21,61,HARD,0
1270,9896,2,22,14,61,HARD,0
1270,9896,2,18,39,61,MEDIUM,1
1270,9896,2,23,43,61,SOFT,0
1270,9896,2,30,49,61,SOFT,0
1270,9896,2,12,26,62,HARD,0
1270,9896,2,43,15,61,MEDIUM,0
1270,9896,2,16,22,62,HARD,0
1270,9896,2,5,14,61,HARD,0
1270,9896,2,31,31,61,HARD,0
1270,9896,3,10,52,61,SOFT,0
1270,9896,3,27,45,61,SOFT,0
1270,9896,3,44,47,62,SOFT,3
1270,9896,2,14,28,62,MEDIUM,1
1270,9896,2,87,24,62,HARD,0
