time,temperature_2m,precipitation,wind_speed_10m
2025-10-06 00:00:00,18.4,0.0,11.0
2025-10-06 01:00:00,18.3,0.0,12.3
2025-10-06 02:00:00,18.1,0.0,11.1
2025-10-06 03:00:00,18.1,0.0,10.8
2025-10-06 04:00:00,18.0,0.0,11.4
2025-10-06 05:00:00,17.7,0.0,11.3
2025-10-06 06:00:00,17.6,0.0,11.5
2025-10-06 07:00:00,17.3,0.0,11.1
2025-10-06 08:00:00,17.3,0.0,11.9
2025-10-06 09:00:00,18.2,0.0,9.4
2025-10-06 10:00:00,19.2,0.0,6.1
2025-10-06 11:00:00,20.2,0.0,5.1
2025-10-06 12:00:00,21.2,0.0,8.4
2025-10-06 13:00:00,21.7,0.0,13.1
2025-10-06 14:00:00,21.4,0.0,16.3
2025-10-06 15:00:00,21.1,0.0,16.3
2025-10-06 16:00:00,21.0,0.0,14.9
2025-10-06 17:00:00,20.8,0.0,14.3
2025-10-06 18:00:00,20.5,0.0,12.2
2025-10-06 19:00:00,20.1,0.0,10.3
2025-10-06 20:00:00,19.6,0.0,7.6
2025-10-06 21:00:00,19.1,0.0,7.4
2025-10-06 22:00:00,18.6,0.0,8.8
2025-10-06 23:00:00,18.4,0.0,8.9
2025-10-07 00:00:00,18.2,0.0,8.6
2025-10-07 01:00:00,18.1,0.0,8.1
2025-10-07 02:00:00,18.0,0.0,8.8
2025-10-07 03:00:00,18.1,0.0,9.0
2025-10-07 04:00:00,18.1,0.0,8.7
2025-10-07 05:00:00,18.0,0.0,8.2
2025-10-07 06:00:00,17.8,0.0,8.5
2025-10-07 07:00:00,17.7,0.0,8.5
2025-10-07 08:00:00,17.8,0.0,8.6
2025-10-07 09:00:00,18.6,0.0,4.3
2025-10-07 10:00:00,19.2,0.0,2.7
2025-10-07 11:00:00,20.0,0.0,5.0
2025-10-07 12:00:00,20.6,0.0,7.6
2025-10-07 13:00:00,20.7,0.0,9.3
2025-10-07 14:00:00,21.0,0.0,11.0
2025-10-07 15:00:00,21.0,0.0,12.1
2025-10-07 16:00:00,20.9,0.0,11.8
2025-10-07 17:00:00,20.5,0.0,10.3
2025-10-07 18:00:00,20.2,0.0,9.3
2025-10-07 19:00:00,19.9,0.0,7.2
2025-10-07 20:00:00,19.3,0.0,4.0
2025-10-07 21:00:00,18.9,0.0,4.2
2025-10-07 22:00:00,18.6,0.0,6.6
2025-10-07 23:00:00,18.4,0.0,7.6
2025-10-08 00:00:00,18.3,0.0,7.9
2025-10-08 01:00:00,18.1,0.0,8.3
2025-10-08 02:00:00,17.9,0.0,8.3
2025-10-08 03:00:00,16.3,0.0,8.3
2025-10-08 04:00:00,16.2,0.0,8.6
2025-10-08 05:00:00,16.0,0.0,8.4
2025-10-08 06:00:00,15.9,0.0,8.4
2025-10-08 07:00:00,15.7,0.0,8.3
2025-10-08 08:00:00,15.6,0.0,8.7
2025-10-08 09:00:00,17.1,0.0,7.3
2025-10-08 10:00:00,19.1,0.0,2.3
2025-10-08 11:00:00,20.5,0.0,4.6
2025-10-08 12:00:00,21.2,0.0,7.9
2025-10-08 13:00:00,21.5,0.0,9.7
2025-10-08 14:00:00,21.5,0.0,8.4
2025-10-08 15:00:00,21.5,0.0,7.6
2025-10-08 16:00:00,21.5,0.0,7.0
2025-10-08 17:00:00,21.0,0.0,7.7
2025-10-08 18:00:00,20.3,0.0,7.3
2025-10-08 19:00:00,19.8,0.0,4.8
2025-10-08 20:00:00,19.5,0.0,3.0
2025-10-08 21:00:00,19.3,0.0,1.9
2025-10-08 22:00:00,19.2,0.0,0.7
2025-10-08 23:00:00,19.0,0.0,1.1
2025-10-09 00:00:00,18.8,0.0,2.4
2025-10-09 01:00:00,18.7,0.0,3.1
2025-10-09 02:00:00,18.7,0.0,4.0
2025-10-09 03:00:00,18.4,0.0,4.9
2025-10-09 04:00:00,18.2,0.0,5.9
2025-10-09 05:00:00,18.0,0.0,6.5
2025-10-09 06:00:00,17.7,0.0,7.6
2025-10-09 07:00:00,17.6,0.0,8.3
2025-10-09 08:00:00,17.8,0.0,8.0
2025-10-09 09:00:00,18.7,0.0,5.2
2025-10-09 10:00:00,20.0,0.0,2.3
2025-10-09 11:00:00,21.0,0.0,4.1
2025-10-09 12:00:00,21.5,0.0,6.5
2025-10-09 13:00:00,21.7,0.0,8.1
2025-10-09 14:00:00,21.8,0.0,9.2
2025-10-09 15:00:00,21.7,0.0,9.2
2025-10-09 16:00:00,21.5,0.0,8.6
2025-10-09 17:00:00,21.1,0.0,7.2
2025-10-09 18:00:00,20.7,0.0,4.8
2025-10-09 19:00:00,20.1,0.0,1.8
2025-10-09 20:00:00,19.6,0.0,2.3
2025-10-09 21:00:00,19.1,0.0,4.3
2025-10-09 22:00:00,18.6,0.0,6.1
2025-10-09 23:00:00,18.2,0.0,7.2
2025-10-10 00:00:00,18.0,0.0,7.6
2025-10-10 01:00:00,18.0,0.0,7.7
2025-10-10 02:00:00,17.9,0.0,7.7
2025-10-10 03:00:00,17.9,0.0,8.4
2025-10-10 04:00:00,17.8,0.0,9.0
2025-10-10 05:00:00,17.9,0.0,9.7
2025-10-10 06:00:00,17.9,0.0,10.5
2025-10-10 07:00:00,17.9,0.0,11.4
2025-10-10 08:00:00,18.3,0.0,10.5
2025-10-10 09:00:00,19.4,0.0,6.4
2025-10-10 10:00:00,20.9,0.0,0.8
2025-10-10 11:00:00,22.1,0.0,4.2
2025-10-10 12:00:00,22.7,0.0,6.5
2025-10-10 13:00:00,23.1,0.0,7.9
2025-10-10 14:00:00,23.2,0.0,8.7
2025-10-10 15:00:00,23.1,0.0,8.9
2025-10-10 16:00:00,22.9,0.0,8.4
2025-10-10 17:00:00,22.5,0.0,7.1
2025-10-10 18:00:00,21.6,0.0,4.2
2025-10-10 19:00:00,20.6,0.0,2.0
2025-10-10 20:00:00,19.8,0.0,4.0
2025-10-10 21:00:00,19.0,0.0,5.2
2025-10-10 22:00:00,18.3,0.0,6.1
2025-10-10 23:00:00,17.8,0.0,6.9
2025-10-11 00:00:00,17.6,0.0,7.7
2025-10-11 01:00:00,17.6,0.0,8.2
2025-10-11 02:00:00,17.7,0.0,8.5
2025-10-11 03:00:00,17.7,0.0,8.9
2025-10-11 04:00:00,17.7,0.0,8.9
2025-10-11 05:00:00,17.7,0.0,8.9
2025-10-11 06:00:00,17.5,0.0,9.3
2025-10-11 07:00:00,17.3,0.0,9.8
2025-10-11 08:00:00,17.6,0.0,8.9
2025-10-11 09:00:00,19.0,0.0,5.9
2025-10-11 10:00:00,20.8,0.0,3.3
2025-10-11 11:00:00,22.2,0.0,5.4
2025-10-11 12:00:00,22.8,0.0,8.2
2025-10-11 13:00:00,23.0,0.0,10.7
2025-10-11 14:00:00,23.0,0.0,12.3
2025-10-11 15:00:00,22.9,0.0,12.5
2025-10-11 16:00:00,22.8,0.0,11.5
2025-10-11 17:00:00,22.3,0.0,9.5
