date,session_key,meeting_key,driver_number,pit_duration,lap_number
2025-10-05T12:25:46.277000+00:00,9896,1270,22,24.6,13
2025-10-05T12:25:51.721000+00:00,9896,1270,5,32.8,13
2025-10-05T12:27:18.400000+00:00,9896,1270,43,24.0,14
2025-10-05T12:34:57.199000+00:00,9896,1270,1,24.0,19
2025-10-05T12:37:03.329000+00:00,9896,1270,6,23.8,20
2025-10-05T12:38:22.641000+00:00,9896,1270,16,23.6,21
2025-10-05T12:41:57.960000+00:00,9896,1270,87,23.9,23
2025-10-05T12:43:21.163000+00:00,9896,1270,44,24.7,24
2025-10-05T12:43:56.502000+00:00,9896,1270,10,25.5,24
2025-10-05T12:44:30.970000+00:00,9896,1270,63,23.9,25
2025-10-05T12:44:51.800000+00:00,9896,1270,12,23.8,25
2025-10-05T12:45:19.688000+00:00,9896,1270,27,24.1,25
2025-10-05T12:46:15.810000+00:00,9896,1270,4,23.3,26
2025-10-05T12:48:00.511000+00:00,9896,1270,81,26.6,27
2025-10-05T12:48:33.356000+00:00,9896,1270,14,30.7,27
2025-10-05T12:53:39.933000+00:00,9896,1270,31,25.0,30
2025-10-05T13:06:50.853000+00:00,9896,1270,18,24.0,38
2025-10-05T13:13:32.820000+00:00,9896,1270,23,25.7,42
2025-10-05T13:17:22.947000+00:00,9896,1270,27,31.8,44
2025-10-05T13:19:00.893000+00:00,9896,1270,44,23.3,46
2025-10-05T13:23:18.239000+00:00,9896,1270,30,24.0,48
2025-10-05T13:26:35.223000+00:00,9896,1270,55,24.0,50
2025-10-05T13:28:40.212000+00:00,9896,1270,10,25.1,51
