position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,62,25.0,False,False,False,6022.367,0,1270,9896
2,1,62,18.0,False,False,False,6027.797,5.43,1270,9896
3,4,62,15.0,False,False,False,6028.433,6.066,1270,9896
4,81,62,12.0,False,False,False,6030.513,8.146,1270,9896
5,12,62,10.0,False,False,False,6056.048,33.681,1270,9896
6,16,62,8.0,False,False,False,6068.363,45.996,1270,9896
7,14,62,6.0,False,False,False,6103.034,80.667,1270,9896
8,44,62,4.0,False,False,False,6107.618,85.251,1270,9896
9,87,62,2.0,False,False,False,6115.894,93.527,1270,9896
10,55,61,1.0,False,False,False,,+1 LAP,1270,9896
11,6,61,0.0,False,False,False,,+1 LAP,1270,9896
12,22,61,0.0,False,False,False,,+1 LAP,1270,9896
13,18,61,0.0,False,False,False,,+1 LAP,1270,9896
14,23,61,0.0,False,False,False,,+1 LAP,1270,9896
15,30,61,0.0,False,False,False,,+1 LAP,1270,9896
16,43,61,0.0,False,False,False,,+1 LAP,1270,9896
17,5,61,0.0,False,False,False,,+1 LAP,1270,9896
18,31,61,0.0,False,False,False,,+1 LAP,1270,9896
19,10,61,0.0,False,False,False,,+1 LAP,1270,9896
20,27,61,0.0,False,False,False,,+1 LAP,1270,9896
